Method,z_um,f_norm,H_A
Clear,0.0,0.625,0.8318136707604513
Clear,0.0,0.635,0.8213944019318448
Clear,0.0,0.645,0.8111494449417781
Clear,0.0,0.655,0.800991752952232
Clear,0.0,0.665,0.7909537747647161
Clear,0.0,0.675,0.7806294313551475
Clear,0.0,0.685,0.7701587892321049
Clear,0.0,0.6950000000000001,0.7595133978414588
Clear,0.0,0.7050000000000001,0.7488701123072372
Clear,0.0,0.715,0.7380686550764702
Clear,0.0,0.725,0.7272286907567886
Clear,0.0,0.735,0.7166514961969199
Clear,0.0,0.745,0.7066684710897585
Clear,0.0,0.755,0.6963476525203188
Clear,0.0,0.765,0.6858481517453803
Clear,0.0,0.775,0.6748891266592233
Clear,0.0,0.785,0.6638050594553605
Clear,0.0,0.795,0.6527498234128036
Clear,0.0,0.805,0.6417540969210889
Clear,0.0,0.8150000000000001,0.6317257383042533
Clear,0.0,0.8250000000000001,0.6213895091593266
Clear,0.0,0.835,0.6104150298418998
Clear,0.0,0.845,0.599281726832899
Clear,0.0,0.855,0.5885086739923868
Clear,0.0,0.865,0.5782345783612717
Clear,0.0,0.875,0.5676548051873692
Clear,0.0,0.885,0.5571656742339659
Clear,0.0,0.895,0.5467540770853013
Clear,25.0,0.005,1.0
Clear,25.0,0.015,0.9998464479093566
Clear,25.0,0.025,0.9995217652719091
Clear,25.0,0.035,0.999050521304571
Clear,25.0,0.045,0.9983881279957144
Clear,25.0,0.055,0.9975383620124108
Clear,25.0,0.065,0.9967307008660603
Clear,25.0,0.07500000000000001,0.9958260256047079
Clear,25.0,0.08499999999999999,0.994528828092154
Clear,25.0,0.095,0.9931542510753909
Clear,25.0,0.10500000000000001,0.9915921629628083
Clear,25.0,0.11499999999999999,0.9897209478968705
Clear,25.0,0.125,0.9878265759456446
Clear,25.0,0.135,0.9860589632490042
Clear,25.0,0.14500000000000002,0.9837723543636776
Clear,25.0,0.155,0.980980140766396
Clear,25.0,0.165,0.9780888228135107
Clear,25.0,0.175,0.9751722621993957
Clear,25.0,0.185,0.972007001835863
Clear,25.0,0.195,0.9688031334128148
Clear,25.0,0.20500000000000002,0.9654790453711525
Clear,25.0,0.215,0.9618256114307672
Clear,25.0,0.225,0.957853670137135
Clear,25.0,0.235,0.9534670883696693
Clear,25.0,0.245,0.9486402051878514
Clear,25.0,0.255,0.9436508257367975
Clear,25.0,0.265,0.9386010555769857
Clear,25.0,0.275,0.9334186988734283
Clear,25.0,0.28500000000000003,0.9276341607294512
Clear,25.0,0.295,0.921504352351255
Clear,25.0,0.305,0.9149689441556619
Clear,25.0,0.315,0.9080662194194762
Clear,25.0,0.325,0.9016664076986097
Clear,25.0,0.335,0.8950207180114135
Clear,25.0,0.34500000000000003,0.8871126556766838
Clear,25.0,0.355,0.8787229606684344
Clear,25.0,0.365,0.8704173463955376
Clear,25.0,0.375,0.8615665039358936
Clear,25.0,0.385,0.8519414514506245
Clear,25.0,0.395,0.8422001547031878
Clear,25.0,0.405,0.8326855137683253
Clear,25.0,0.41500000000000004,0.8227968173916279
Clear,25.0,0.425,0.8112511306206296
Clear,25.0,0.435,0.7992083169042924
Clear,25.0,0.445,0.7870535757181941
Clear,25.0,0.455,0.7745682703588499
Clear,25.0,0.465,0.7624484695033634
Clear,25.0,0.475,0.7509569654028294
Clear,25.0,0.485,0.7380398397282675
Clear,25.0,0.495,0.7248521261052814
Clear,25.0,0.505,0.7121332658204825
Clear,25.0,0.515,0.6995870174608402
Clear,25.0,0.525,0.6869929605186144
Clear,25.0,0.535,0.6745289357464072
Clear,25.0,0.545,0.6626987779892747
Clear,25.0,0.555,0.6503879990413455
Clear,25.0,0.5650000000000001,0.6378844108906417
Clear,25.0,0.575,0.6252687814656213
Clear,25.0,0.585,0.6125983430018488
Clear,25.0,0.595,0.600257639340246
Clear,25.0,0.605,0.5885885106768286
Clear,25.0,0.615,0.5772896988799368
Clear,25.0,0.625,0.5655837520278757
Clear,25.0,0.635,0.5536600132522551
Clear,25.0,0.645,0.5421521551942069
Clear,25.0,0.655,0.5309415067866274
Clear,25.0,0.665,0.520079184315224
Clear,25.0,0.675,0.5091014376153625
Clear,25.0,0.685,0.4981654579479521
Clear,25.0,0.6950000000000001,0.4872463807818776
Clear,25.0,0.7050000000000001,0.4765024784323048
Clear,25.0,0.715,0.46580278624446436
Clear,25.0,0.725,0.45524998281742607
Clear,25.0,0.735,0.44511081116328155
Clear,25.0,0.745,0.43567241525657063
Clear,25.0,0.755,0.42609482385047576
Clear,25.0,0.765,0.4164810102620232
Clear,25.0,0.775,0.4066188120072214
Clear,25.0,0.785,0.39678974565032854
Clear,25.0,0.795,0.38713342567922077
Clear,25.0,0.805,0.3776678267263613
Clear,25.0,0.8150000000000001,0.3691725651897748
Clear,25.0,0.8250000000000001,0.3605468377263463
Clear,25.0,0.835,0.3514926302499087
Clear,25.0,0.845,0.3424456955769748
Clear,25.0,0.855,0.3338131441514342
Clear,25.0,0.865,0.32569894990334575
